Include	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
	CI01	Factory/Manufacturing	C	I	1		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	
	CI01AW	Aircraft Works	C	I	1	AW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Aircraft Works
	CI01BB	Boat Building	C	I	1	BB	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Boat Building
	CI01BR	Brick Works	C	I	1	BR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Brick Works
	CI01BW	Brewery	C	I	1	BW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Brewery
	CI01CD	Cider Manufacture	C	I	1	CD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Cider Manufacture
	CI01CM	Chemical Works	C	I	1	CM	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Chemical Works
	CI01CW	Cement Works	C	I	1	CW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Cement Works
	CI01DA	Dairy Processing	C	I	1	DA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Dairy Processing
	CI01DY	Distillery	C	I	1	DY	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Distillery
	CI01FL	Flour Mill	C	I	1	FL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Flour Mill
	CI01FO	Food Processing	C	I	1	FO	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Food Processing
	CI01GW	Glassworks	C	I	1	GW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Glassworks
	CI01MG	Manufacturing	C	I	1	MG	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Manufacturing
	CI01OH	Oast House	C	I	1	OH	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Oast House
	CI01OR	Oil Refining	C	I	1	OR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Oil Refining
	CI01PG	Pottery Manufacturing	C	I	1	PG	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Pottery Manufacturing
	CI01PM	Paper Mill	C	I	1	PM	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Paper Mill
	CI01PW	Printing Works	C	I	1	PW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Printing Works
	CI01YD	Shipyard	C	I	1	YD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Shipyard
	CI01SR	Sugar Refinery	C	I	1	SR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Sugar Refinery
	CI01SW	Steel Works	C	I	1	SW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Steel Works
	CI01TL	Timber Mill	C	I	1	TL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Timber Mill
	CI01WN	Winery	C	I	1	WN	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Winery
	CI02	Mineral / Ore Working / Quarry / Mine	C	I	2		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	
	CI02MA	Mineral Mining / Active	C	I	2	MA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Mining / Active
	CI02MD	Mineral Distribution / Storage	C	I	2	MD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Distribution / Storage
	CI02MP	Mineral Processing	C	I	2	MP	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Processing
	CI02OA	Oil / Gas Extraction / Active	C	I	2	OA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Oil / Gas Extraction / Active
	CI02QA	Mineral Quarrying / Open Extraction / Active	C	I	2	QA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Quarrying / Open Extraction / Active
	CI03	Workshop / Light Industrial	C	I	3		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Workshop / Light Industrial	
	CI03GA	Servicing Garage	C	I	3	GA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Workshop / Light Industrial	Servicing Garage
	CI04	Warehouse / Store / Storage Depot	C	I	4		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	
	CI04CS	Crop Handling / Storage	C	I	4	CS	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Crop Handling / Storage
	CI04PL	Postal Sorting / Distribution	C	I	4	PL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Postal Sorting / Distribution
	CI04SO	Solid Fuel Storage	C	I	4	SO	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Solid Fuel Storage
	CI04TS	Timber Storage	C	I	4	TS	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Timber Storage
	CI05	Wholesale Distribution	C	I	5		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	
	CI05SF	Solid Fuel Distribution	C	I	5	SF	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	Solid Fuel Distribution
	CI05TD	Timber Distribution	C	I	5	TD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	Timber Distribution
	CI06	Recycling Plant	C	I	6		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Recycling Plant	
	CI07	Incinerator / Waste Transfer Station	C	I	7		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Incinerator / Waste Transfer Station	
	CI08	Maintenance Depot	C	I	8		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Maintenance Depot	
	CL	Leisure - Applicable to recreational sites and enterprises	C	L			Commercial	Leisure - Applicable to recreational sites and enterprises		
	CL01	Amusements	C	L	1		Commercial	Leisure - Applicable to recreational sites and enterprises	Amusements	
	CL01LP	Leisure Pier	C	L	1	LP	Commercial	Leisure - Applicable to recreational sites and enterprises	Amusements	Leisure Pier
Y	CL02	Holiday / Campsite	C	L	2		Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	
Y	CL02CG	Camping	C	L	2	CG	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Camping
Y	CL02CV	Caravanning	C	L	2	CV	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Caravanning
Y	CL02HA	Holiday Accommodation	C	L	2	HA	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Holiday Accommodation
Y	CL02HO	Holiday Centre	C	L	2	HO	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Holiday Centre
	CL02YC	Youth Organisation Camp	C	L	2	YC	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Youth Organisation Camp
	CL03	Library	C	L	3		Commercial	Leisure - Applicable to recreational sites and enterprises	Library	
	CL03RR	Reading Room	C	L	3	RR	Commercial	Leisure - Applicable to recreational sites and enterprises	Library	Reading Room
	CL04	Museum / Gallery	C	L	4		Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	
	CL04AC	Art Centre / Gallery	C	L	4	AC	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Art Centre / Gallery
	CL04AM	Aviation Museum	C	L	4	AM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Aviation Museum
	CL04HG	Heritage Centre	C	L	4	HG	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Heritage Centre
	CL04IM	Industrial Museum	C	L	4	IM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Industrial Museum
