Commercial	Prefferrd Residential	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
Y	Y	CH03	Hotel/Motel	C	H	3		Commercial	Hotel / Motel / Boarding / Guest House	Hotel/Motel	
Y		CI	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	C	I			Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"		
Y		CI01	Factory/Manufacturing	C	I	1		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	
Y	N	CI01AW	Aircraft Works	C	I	1	AW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Aircraft Works
Y	N	CI01BB	Boat Building	C	I	1	BB	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Boat Building
Y	N	CI01BR	Brick Works	C	I	1	BR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Brick Works
Y		CI01BW	Brewery	C	I	1	BW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Brewery
Y	N	CI01CD	Cider Manufacture	C	I	1	CD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Cider Manufacture
Y	N	CI01CM	Chemical Works	C	I	1	CM	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Chemical Works
Y	N	CI01CW	Cement Works	C	I	1	CW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Cement Works
Y		CI01DA	Dairy Processing	C	I	1	DA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Dairy Processing
Y		CI01DY	Distillery	C	I	1	DY	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Distillery
Y		CI01FL	Flour Mill	C	I	1	FL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Flour Mill
Y	N	CI01FO	Food Processing	C	I	1	FO	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Food Processing
Y	N	CI01GW	Glassworks	C	I	1	GW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Glassworks
Y		CI01MG	Manufacturing	C	I	1	MG	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Manufacturing
Y		CI01OH	Oast House	C	I	1	OH	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Oast House
Y	N	CI01OR	Oil Refining	C	I	1	OR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Oil Refining
Y		CI01PG	Pottery Manufacturing	C	I	1	PG	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Pottery Manufacturing
Y	N	CI01PM	Paper Mill	C	I	1	PM	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Paper Mill
Y	N	CI01PW	Printing Works	C	I	1	PW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Printing Works
Y	N	CI01YD	Shipyard	C	I	1	YD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Shipyard
Y		CI01SR	Sugar Refinery	C	I	1	SR	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Sugar Refinery
Y		CI01SW	Steel Works	C	I	1	SW	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Steel Works
Y		CI01TL	Timber Mill	C	I	1	TL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Timber Mill
Y		CI01WN	Winery	C	I	1	WN	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Factory/Manufacturing	Winery
Y	N	CI02	Mineral / Ore Working / Quarry / Mine	C	I	2		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	
Y	N	CI02MA	Mineral Mining / Active	C	I	2	MA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Mining / Active
Y	N	CI02MD	Mineral Distribution / Storage	C	I	2	MD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Distribution / Storage
Y	N	CI02MP	Mineral Processing	C	I	2	MP	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Processing
Y	N	CI02OA	Oil / Gas Extraction / Active	C	I	2	OA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Oil / Gas Extraction / Active
Y	N	CI02QA	Mineral Quarrying / Open Extraction / Active	C	I	2	QA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Mineral / Ore Working / Quarry / Mine	Mineral Quarrying / Open Extraction / Active
Y	 	CI03	Workshop / Light Industrial	C	I	3		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Workshop / Light Industrial	
Y	E	CI03GA	Servicing Garage	C	I	3	GA	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Workshop / Light Industrial	Servicing Garage
Y	E	CI04	Warehouse / Store / Storage Depot	C	I	4		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	
Y	N	CI04CS	Crop Handling / Storage	C	I	4	CS	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Crop Handling / Storage
Y	N	CI04PL	Postal Sorting / Distribution	C	I	4	PL	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Postal Sorting / Distribution
Y	N	CI04SO	Solid Fuel Storage	C	I	4	SO	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Solid Fuel Storage
Y	N	CI04TS	Timber Storage	C	I	4	TS	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Warehouse / Store / Storage Depot	Timber Storage
Y	N	CI05	Wholesale Distribution	C	I	5		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	
Y	N	CI05SF	Solid Fuel Distribution	C	I	5	SF	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	Solid Fuel Distribution
Y	N	CI05TD	Timber Distribution	C	I	5	TD	Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Wholesale Distribution	Timber Distribution
Y	N	CI06	Recycling Plant	C	I	6		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Recycling Plant	
Y	N	CI07	Incinerator / Waste Transfer Station	C	I	7		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Incinerator / Waste Transfer Station	
Y	N	CI08	Maintenance Depot	C	I	8		Commercial	"Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites"	Maintenance Depot	
Y	N	CL	Leisure - Applicable to recreational sites and enterprises	C	L			Commercial	Leisure - Applicable to recreational sites and enterprises		
Y	N	CL01	Amusements	C	L	1		Commercial	Leisure - Applicable to recreational sites and enterprises	Amusements	
Y	N	CL01LP	Leisure Pier	C	L	1	LP	Commercial	Leisure - Applicable to recreational sites and enterprises	Amusements	Leisure Pier
Y	Y	CL02	Holiday / Campsite	C	L	2		Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	
Y	Y	CL02CG	Camping	C	L	2	CG	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Camping
Y	Y	CL02CV	Caravanning	C	L	2	CV	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Caravanning
Y	Y	CL02HA	Holiday Accommodation	C	L	2	HA	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Holiday Accommodation
Y	Y	CL02HO	Holiday Centre	C	L	2	HO	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Holiday Centre
Y	N	CL02YC	Youth Organisation Camp	C	L	2	YC	Commercial	Leisure - Applicable to recreational sites and enterprises	Holiday / Campsite	Youth Organisation Camp
Y	N	CL03	Library	C	L	3		Commercial	Leisure - Applicable to recreational sites and enterprises	Library	
Y	N	CL03RR	Reading Room	C	L	3	RR	Commercial	Leisure - Applicable to recreational sites and enterprises	Library	Reading Room
Y	N	CL04	Museum / Gallery	C	L	4		Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	
Y	N	CL04AC	Art Centre / Gallery	C	L	4	AC	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Art Centre / Gallery
Y	N	CL04AM	Aviation Museum	C	L	4	AM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Aviation Museum
Y	N	CL04HG	Heritage Centre	C	L	4	HG	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Heritage Centre
Y	N	CL04IM	Industrial Museum	C	L	4	IM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Industrial Museum
Y	N	CL04MM	Military Museum	C	L	4	MM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Military Museum
Y	N	CL04SM	Science Museum	C	L	4	SM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Science Museum
Y	N	CL04TM	Transport Museum	C	L	4	TM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Transport Museum
Y	N	CL04NM	Maritime Museum	C	L	4	NM	Commercial	Leisure - Applicable to recreational sites and enterprises	Museum / Gallery	Maritime Museum
Y		CL06	Indoor / Outdoor Leisure / Sporting Activity / Centre	C	L	6		Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	
Y	N	CL06AH	Athletics Facility	C	L	6	AH	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Athletics Facility
Y	N	CL06BF	Bowls Facility	C	L	6	BF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Bowls Facility
Y	N	CL06CK	Cricket Facility	C	L	6	CK	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Cricket Facility
Y	N	CL06CU	Curling Facility	C	L	6	CU	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Curling Facility
Y	N	CL06YF	Cycling Sports Facility	C	L	6	YF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Cycling Sports Facility
Y	N	CL06DS	Diving / Swimming Facility	C	L	6	DS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Diving / Swimming Facility
Y	N	CL06EQ	Equestrian Sports Facility	C	L	6	EQ	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Equestrian Sports Facility
Y	N	CL06FB	Football Facility	C	L	6	FB	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Football Facility
Y	N	CL06FI	Fishing / Angling Facility	C	L	6	FI	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Fishing / Angling Facility
Y	N	CL06GF	Golf Facility	C	L	6	GF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Golf Facility
Y	N	CL06GL	Gliding Facility	C	L	6	GL	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Gliding Facility
Y	N	CL06GR	Greyhound Racing Facility	C	L	6	GR	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Greyhound Racing Facility
Y	N	CL06HF	Hockey Facility	C	L	6	HF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Hockey Facility
Y	N	CL06HR	Horse Racing Facility	C	L	6	HR	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Horse Racing Facility
Y	N	CL06HV	Historic Vessel / Aircraft / Vehicle	C	L	6	HV	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Historic Vessel / Aircraft / Vehicle
Y	N	CL06LS	Activity / Leisure / Sports Centre	C	L	6	LS	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Activity / Leisure / Sports Centre
Y	N	CL06ME	Model Sports Facility	C	L	6	ME	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Model Sports Facility
Y	N	CL06MF	Motor Sports Facility	C	L	6	MF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Motor Sports Facility
Y	N	CL06PF	Playing Field	C	L	6	PF	Commercial	Leisure - Applicable to recreational sites and enterprises	Indoor / Outdoor Leisure / Sporting Activity / Centre	Playing Field
